,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
0, Tulskaia ,21950000,10,transport,owner                 ,0,760,3,5,3,71,56,9
1, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
2,Outskirts,11036289,0,transport,agency                 ,0,48,11,19,2,56,56,56
3,Outskirts,10233650,0,transport,agency                 ,0,66,11,19,2,56,56,56
4,Outskirts,10197166,0,transport,agency                 ,0,79,12,19,2,56,56,56
5,Outskirts,10160683,0,transport,agency                 ,0,56,12,19,2,56,56,56
6,Outskirts,10872113,0,transport,agency                 ,0,57,13,19,2,56,56,56
7,Outskirts,10142441,0,transport,agency                 ,0,60,13,19,2,56,56,56
8,Outskirts,10981564,0,transport,agency                 ,0,56,13,19,2,56,56,56
9,Outskirts,8975232,0,transport,agency                 ,0,76,13,19,1,56,56,56
10,Outskirts,10835629,0,transport,agency                 ,0,56,14,19,2,56,56,56
11, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
12, Fili ,11500000,14,walk,realtor                    ,0,2,3,9,1,41,26,7
13, Babushkinskaia ,12200000,5,walk,realtor                    ,0,3,15,17,2,99,66,28
14, Taganskaia ,11400000,4,walk,realtor                    ,0,3,3,13,1,44,22,8
15, Oktiabrskoe pole ,16000000,10,walk,realtor                    ,0,1,6,16,1,177,86,86
16, Medvedkovo ,13700000,15,walk,realtor                    ,0,102,17,17,2,51,30,10
17, Tekstilshchiki ,11500000,7,walk,realtor                    ,0,4,5,16,1,38,20,9
18, Volokolamskaia ,11900000,8,walk,agency                    ,0,84,4,17,1,5,19,8
19, Prazhskaia ,9800000,7,transport,agency                    ,0,4,5,9,2,45,28,6
20, Kakhovskaia ,12500000,3,transport,agency                    ,0,6,8,9,1,31,21,5
21, Iasenevo ,7500000,18,walk,agency                    ,0,854,6,16,3,73,44,10
22, Olkhovaia ,16500000,15,transport,agency                    ,0,49,2,9,3,78,44,12
23, Kropotkinskaia ,10200000,9,walk,realtor                    ,0,12,2,8,1,43,31,7
24, Krasnopresnenskaia ,17000000,15,walk,realtor                    ,0,15,17,60,3,136,91,16
25, Marina Roshcha ,15300000,14,walk,realtor                    ,0,9,16,22,3,82,66,11
26, Dinamo ,11490000,3,walk,realtor                    ,0,286,4,12,1,56,56,56
27, Filatov Lug ,10600000,20,transport,realtor                    ,0,59,3,4,3,56,56,56
28, Petrovskii park ,8850000,8,transport,agency                    ,0,16,10,17,1,38,17,9
29, Fonvizinskaia ,9900000,8,walk,agency                    ,0,584,1,5,1,3,19,6
30, Taganskaia ,30000000,10,walk,agency                    ,0,15,9,12,3,56,56,56
31, Novoperedelkino ,17690000,6,transport,realtor                    ,0,1014,13,16,3,56,56,56
32,Outskirts,10817387,0,transport,agency                 ,0,53,13,19,2,56,56,56
33,Outskirts,10215408,0,transport,agency                 ,0,67,11,19,2,56,56,56
34, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
35, Kitai-gorod ,22000000,10,walk,realtor                    ,0,20,3,5,3,87,56,12
36, Skhodnenskaia ,11500000,21,walk,realtor                    ,0,11,10,16,1,76,53,18
37, Serpukhovskaia ,11500000,13,walk,realtor                    ,0,13,2,9,1,35,19,7
38, Nagatinskaia ,11500000,16,walk,realtor                    ,0,18,17,24,,58,18,14
39, Arbatskaia ,11500000,8,walk,realtor                    ,0,15,3,5,1,32,19,6
40, Babushkinskaia ,11450000,16,walk,realtor                    ,0,12,13,18,1,52,24,14
41, Shchukinskaia ,22000000,17,walk,realtor                    ,0,13,8,18,3,70,46,10
42, Komsomolskaia ,20500000,10,walk,realtor                    ,0,9,6,7,2,86,51,13
43, Bibirevo ,15000000,3,transport,realtor                    ,0,11,13,22,2,79,32,18
44, Frunzenskaia ,16000000,15,walk,realtor                    ,0,11,3,12,1,47,33,9
45, Tcaritcyno ,20000000,4,transport,realtor                    ,0,12,8,15,2,76,39,12
46, Serpukhovskaia ,14500000,5,walk,realtor                    ,0,8,8,12,2,49,29,10
47, Okskaia ,17000000,3,walk,realtor                    ,0,12,15,25,3,107,59,17
48, Babushkinskaia ,15500000,5,walk,realtor                    ,0,14,9,12,3,91,79,7
49, Studencheskaia ,27832000,4,transport,agency                    ,0,328,30,41,2,8,34,10
50, Marina Roshcha ,18308360,5,walk,agency                    ,0,325,50,55,,56,56,56
51, Mezhdunarodnaia ,35450000,4,walk,agency                    ,0,2062,79,95,2,72,40,15
52, Mezhdunarodnaia ,53050000,4,walk,agency                    ,0,3009,69,95,3,123,80,15
53, Mezhdunarodnaia ,22800000,4,walk,agency                    ,0,3062,80,86,1,43,25,10
54, Bulvar Rokossovskogo ,10200000,3,transport,realtor                    ,0,27,7,29,1,51,20,11
55, Begovaia ,10200000,8,walk,realtor                    ,0,24,16,37,1,54,23,10
56, Akademicheskaia ,10200000,15,walk,realtor                    ,0,21,12,13,1,48,34,9
57, Riazanskii prospekt ,21500000,6,walk,realtor                    ,0,17,15,24,3,121,61,20
58, Dmitrovskaia ,18500000,14,walk,realtor                    ,0,11,3,14,2,75,42,12
59, Park kultury ,14000000,11,walk,realtor                    ,0,17,3,5,2,46,31,10
60, Frunzenskaia ,10150000,4,walk,realtor                    ,0,18,2,9,1,34,19,8
61, Kitai-gorod ,17000000,10,walk,realtor                    ,0,26,3,5,3,73,52,8
62, Ulitca 1905 goda ,10150000,9,walk,realtor                    ,0,21,4,7,,53,37,11
63, Preobrazhenskaia ploshchad ,15300000,6,walk,realtor                    ,0,35,7,10,3,78,56,15
64, Ramenki ,10150000,34,walk,realtor                    ,0,18,3,22,1,44,19,13
65, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
66, Ulitca 1905 goda ,8700000,15,walk,realtor                    ,0,17,9,12,,36,19,10
67, VDNKh ,8600000,4,transport,realtor                    ,0,22,10,17,1,36,20,8
68, Vodnyi stadion ,8600000,14,walk,realtor                    ,0,18,17,22,1,42,17,15
69, VDNKh ,18000000,3,transport,realtor                    ,0,23,14,58,,83,51,12
70, Krasnye vorota ,8500000,9,walk,realtor                    ,0,23,4,12,1,34,18,7
71, Krasnye vorota ,14000000,8,walk,realtor                    ,0,18,5,8,2,58,36,7
72, Tretiakovskaia ,8500000,4,walk,realtor                    ,0,17,4,14,1,35,18,9
73, Maiakovskaia ,8500000,10,walk,realtor                    ,0,18,4,10,1,45,29,11
74, Kitai-gorod ,8500000,11,walk,realtor                    ,0,17,2,9,1,33,18,7
75, Chertanovskaia ,35000000,10,walk,agency                    ,0,86,13,22,5,159,92,13
76, Petrovskii park ,8850000,8,transport,agency                    ,0,26,10,17,1,38,18,9
77, Nagornaia ,11200000,20,walk,realtor                    ,0,170,13,16,1,56,56,56
78, Kaluzhskaia ,50242000,12,walk,agency                    ,0,144,4,31,3,3,140,20
79, Dmitrovskaia ,10500000,18,walk,realtor                    ,0,434,1,5,2,44,30,7
80, Okruzhnaia ,5900000,7,walk,agency                    ,0,277,4,5,1,56,56,56
81, Fili ,39700000,20,walk,agency                       ,0,611,11,28,3,56,56,56
82, Shchukinskaia ,21000000,10,walk,agency                       ,0,335,7,8,2,56,56,56
83, Kolomenskaia ,15000000,5,walk,agency                       ,0,376,12,16,3,54,40,8
84, Shchelkovskaia ,12500000,8,walk,agency                       ,0,275,11,18,1,45,21,11
85, Aeroport ,16500000,15,walk,agency                       ,0,272,3,5,3,56,56,56
86, Polezhaevskaia ,29700000,15,walk,agency                       ,0,2102,15,31,3,129,65,15
87, Bratislavskaia ,9000000,8,transport,agency                    ,0,70,4,5,2,56,56,56
88, Kuzminki ,13300000,5,walk,realtor                    ,0,111,3,5,2,45,29,6
89, Babushkinskaia ,9300000,10,transport,realtor                    ,0,65,1,9,1,32,15,6
90, Novoperedelkino ,15500000,8,walk,realtor                    ,0,330,13,17,3,75,45,11
91, Michurinskii prospekt ,35000000,15,walk,realtor                    ,0,209,2,25,3,96,52,11
92, Fili ,11500000,14,walk,realtor                    ,0,18,3,9,1,41,26,7
93, Slavianskii bulvar ,17000000,0,walk,realtor                    ,0,215,1,5,3,58,41,8
94, Polianka ,374000000,5,walk,agency                    ,0,136,12,14,4,56,56,56
95, Polianka ,489000000,5,walk,agency                    ,0,159,13,14,5,56,56,56
96, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
97, Polianka ,552000000,5,walk,agency                    ,0,156,10,14,6,56,56,56
98, Polianka ,1026000000,5,walk,agency                    ,0,182,13,14,5,56,56,56
99, Kosino ,8400000,15,walk,realtor                    ,0,28,3,9,1,28,16,7
100, Akademicheskaia ,14500000,12,walk,agency                    ,0,70,5,5,2,45,29,6
101, Piatnitckoe shosse ,12800000,23,transport,agency                       ,0,34,1,9,4,63,46,6
102, Novoperedelkino ,10200000,3,walk,owner                    ,0,32,4,17,3,8,53,14
103, Novoperedelkino ,92500000,4,walk,owner                    ,0,28,7,23,2,8,30,9
104, Novoperedelkino ,8500000,4,walk,owner                    ,0,30,6,23,1,2,20,11
105, Avtozavodskaia ,42000000,14,walk,owner                 ,0,2792,12,14,2,80,31,20
106, Altufevo ,13200000,15,transport,agency                    ,0,157,10,14,2,56,56,56
107, Khovrino ,2990000,10,transport,realtor                    ,0,38,2,3,1,5,18,3
108, Tcvetnoi bulvar ,5590000,8,walk,realtor                    ,0,27,1,5,1,21,15,4
109, Babushkinskaia ,12200000,5,walk,realtor                    ,0,24,15,17,2,99,66,28
110, Tcvetnoi bulvar ,3490000,8,walk,realtor                    ,0,36,1,6,1,5,8,2
111, Tcvetnoi bulvar ,6690000,8,walk,realtor                    ,0,25,1,6,1,26,20,4
112, Minskaia ,172500000,9,walk,agency                    ,0,742,12,47,4,209,100,34
113, Kropotkinskaia ,10200000,9,walk,realtor                    ,0,31,2,8,1,43,31,7
114, Akademicheskaia ,49000000,10,walk,realtor                    ,0,515,17,24,3,103,57,18
115, Maiakovskaia ,38500000,10,walk,realtor                    ,0,1732,1,4,3,70,45,9
116, Molodezhnaia ,12800000,7,walk,agency                    ,0,295,2,22,1,40,19,9
117, Kashirskaia ,14200000,11,walk,agency                    ,0,73,4,12,2,53,33,9
118, Riazanskii prospekt ,21500000,6,walk,realtor                    ,0,32,15,24,3,121,61,20
119, Nagornaia ,2500000,14,walk,realtor                    ,0,47,1,5,1,16,10,3
120, Filatov Lug ,10500000,9,walk,realtor                    ,0,40,1,9,1,56,56,56
121, Mitino ,17000000,15,walk,agency                    ,0,128,11,17,3,75,45,10
122, Petrovskii park ,12500000,19,transport,realtor                    ,0,622,1,3,3,106,66,17
123,Outskirts,6100000,0,transport,realtor                    ,0,473,2,5,2,35,21,11
124, Ulitca Gorchakova ,8500000,10,walk,realtor                    ,0,509,2,12,1,39,21,10
125, Piatnitckoe shosse ,10900000,27,transport,agency                       ,0,41,2,12,2,50,25,20
126, Piatnitckoe shosse ,11500000,24,transport,agency                       ,0,104,6,14,2,51,31,8
127, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
128, Kuzminki ,11900000,10,walk,agency                       ,0,76,12,12,2,45,30,6
129, Begovaia ,28500000,2,walk,realtor                    ,0,351,25,32,3,56,56,56
130, Avtozavodskaia ,3190000,7,walk,realtor                    ,0,81,1,5,1,30,24,4
131, Avtozavodskaia ,2490000,7,walk,realtor                    ,0,48,1,5,1,6,8,3
132, Avtozavodskaia ,4790000,7,walk,realtor                    ,0,43,1,5,1,32,24,4
133, Prazhskaia ,4990000,3,walk,realtor                    ,0,48,1,24,1,16,10,4
134, Piatnitckoe shosse ,10500000,25,transport,agency                       ,0,272,6,22,2,50,30,10
135, Delovoi tcentr ,466000000,5,walk,realtor                    ,0,886,95,100,7,460,300,60
136, Delovoi tcentr ,27000000,5,walk,realtor                    ,0,974,75,100,1,45,25,15
137, Butyrskaia ,12940000,15,walk,agency                    ,0,150,18,28,1,7,18,5
138, Butyrskaia ,19760000,15,walk,agency                    ,0,148,18,28,1,56,56,56
139, Maiakovskaia ,69950000,4,walk,agency                    ,0,167,2,8,4,56,56,56
140, Butyrskaia ,27570000,15,walk,agency                    ,0,143,18,28,2,56,56,56
141, Butyrskaia ,35220000,15,walk,agency                    ,0,188,18,28,3,80,54,5
142, Butyrskaia ,60620000,15,walk,agency                    ,0,172,28,28,2,56,56,56
143, Preobrazhenskaia ploshchad ,15300000,6,walk,realtor                    ,0,35,7,10,3,78,56,15
144, Petrovsko-Razumovskaia ,75000000,0,walk,realtor                    ,0,2994,18,18,8,550,400,25
145, Seligerskaia ,12650000,20,walk,realtor                    ,0,250,4,9,3,56,56,56
146, Perovo ,13500000,15,walk,agency                       ,0,217,3,12,2,52,30,7
147, Teplyi Stan ,4000000,15,transport,realtor                    ,0,6643,13,17,1,36,18,9
148, Teplyi Stan ,4700000,0,transport,realtor                    ,0,7449,3,5,2,46,30,7
149, Oktiabrskoe pole ,26916000,10,walk,agency                    ,0,149,2,20,1,56,56,56
150, Oktiabrskoe pole ,35222000,10,walk,agency                    ,0,148,6,13,2,56,56,56
151, Polianka ,185700000,5,walk,agency                    ,0,1960,3,5,,56,56,56
152, Polianka ,109600000,5,walk,agency                    ,0,1626,3,5,1,56,56,56
153, Ulitca Gorchakova ,12000000,10,walk,agency                    ,0,71,2,12,2,3,29,8
154, Aeroport ,16800000,2,walk,agency                    ,0,38,3,4,2,1,30,5
155, Aeroport ,12400000,2,walk,agency                    ,0,39,3,4,2,5,30,5
156, Aeroport ,85000000,2,walk,agency                    ,0,37,3,4,1,6,15,5
157, Aeroport ,74000000,2,walk,agency                    ,0,36,2,4,1,3,12,4
158, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
159, Marina Roshcha ,15300000,10,walk,agency                    ,0,118,10,10,2,56,56,56
160, Dinamo ,35900000,7,walk,realtor                    ,0,498,3,25,3,66,42,19
161, Rechnoi vokzal ,10600000,10,transport,realtor                    ,0,166,4,12,2,40,23,8
162, Buninskaia Alleia ,9500000,10,transport,agency                    ,0,503,5,6,3,81,42,10
163,Outskirts,8090000,0,transport,realtor                    ,0,386,2,3,2,3,32,8
164, Fili ,26000000,15,walk,agency                       ,0,783,10,31,2,5,24,12
165, Novoperedelkino ,8650000,7,transport,realtor                    ,0,964,17,24,1,39,19,9
166, Krasnye vorota ,26000000,8,walk,realtor                    ,0,48,4,12,2,45,30,6
167, Narodnoe Opolchenie ,33000000,12,walk,agency                    ,0,350,16,25,,56,56,56
168, Piatnitckoe shosse ,8300000,24,transport,agency                       ,0,47,7,17,1,38,19,9
169, Piatnitckoe shosse ,15500000,24,transport,agency                       ,0,103,11,14,2,50,30,9
170, Kolomenskaia ,11500000,19,walk,agency                    ,0,41,9,9,1,56,56,56
171, Oktiabrskoe pole ,29500000,15,walk,agency                       ,0,162,1,8,3,56,56,56
172, Bibirevo ,15450000,7,walk,agency                       ,0,55,1,12,3,6,45,7
173, Petrovskii park ,12500000,15,transport,agency                       ,0,105,4,4,3,2,42,8
174, Smolenskaia ,165000000,6,walk,agency                    ,0,2577,3,4,4,56,56,56
175, Kuntcevskaia ,15000000,10,transport,agency                       ,0,55,8,14,2,56,56,56
176, Varshavskaia ,15500000,8,walk,realtor                    ,0,102,4,5,2,5,39,10
177, Kommunarka ,11850000,5,transport,realtor                    ,0,1869,10,12,2,4,32,12
178, Liublino ,13000000,10,transport,realtor                    ,0,112,8,14,2,53,32,9
179, Tcaritcyno ,4350000,7,transport,realtor                    ,0,216,2,11,1,7,13,1
180, Aviamotornaia ,14800000,10,walk,realtor                    ,0,633,6,7,2,56,56,56
181, Domodedovskaia ,12500000,15,walk,realtor                    ,0,858,4,12,3,56,56,56
182, Teplyi Stan ,12250000,20,transport,realtor                    ,0,440,7,12,2,56,56,56
183, Belomorskaia ,17500000,10,walk,realtor                    ,0,376,9,19,3,5,47,8
184, Slavianskii bulvar ,31298410,10,walk,realtor                    ,0,6961,1,17,2,53,32,9
185, Molodezhnaia ,11900000,10,walk,realtor                    ,0,997,1,17,2,53,32,9
186, Paveletckaia ,36500000,2,walk,realtor                    ,0,84,3,11,3,85,50,10
187, Michurinskii prospekt ,18800000,15,walk,realtor                    ,0,138,14,16,3,67,50,7
188, TcSKA ,51200000,5,walk,owner                 ,0,153,11,26,3,123,100,15
189, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
190, Chertanovskaia ,24000000,12,walk,agency                    ,0,47,8,19,,56,56,56
191, Novogireevo ,23000000,5,walk,agency                    ,0,62,12,12,3,81,48,8
192, Volokolamskaia ,25000000,14,walk,agency                    ,0,48,11,17,5,120,74,18
193, Tcaritcyno ,15800000,10,transport,agency                    ,0,67,16,17,3,56,56,56
194, Planernaia ,8500000,26,transport,agency                       ,0,97,2,14,1,38,19,8
195, Salarevo ,17800000,3,transport,realtor                    ,0,567,12,14,3,85,49,15
196, Novogireevo ,13700000,5,transport,agency                    ,0,48,2,9,3,56,56,56
197, Molodezhnaia ,15500000,20,walk,realtor                    ,0,150,4,12,3,63,39,8
198, Pechatniki ,13300000,2,walk,realtor                    ,0,446,11,16,3,4,40,9
199, Chertanovskaia ,23400000,10,walk,realtor                    ,0,392,23,25,3,106,54,12
200, Pechatniki ,10500000,8,transport,realtor                    ,0,173,2,14,2,56,56,56
201, Otradnoe ,25900000,15,walk,agency                    ,0,297,7,22,4,56,56,56
202, Volgogradskii prospekt ,13900000,10,walk,realtor                    ,0,204,11,32,1,41,17,13
203, Salarevo ,8750000,9,transport,realtor                    ,0,230,8,17,1,38,19,9
204, Shchelkovskaia ,14900000,20,walk,realtor                    ,0,54,8,17,2,54,32,10
205, Govorovo ,7100000,15,walk,realtor                    ,0,2697,7,12,2,39,24,6
206, Shchelkovskaia ,6500000,10,walk,realtor                    ,0,2190,6,9,1,33,19,7
207, Salarevo ,8800000,6,transport,realtor                    ,0,745,4,5,2,45,30,6
208, Kolomenskaia ,12990000,7,walk,realtor                    ,0,200,11,17,1,38,19,7
209, Iasenevo ,15000000,8,walk,agency                       ,0,54,5,16,2,1,32,9
210, VDNKh ,15000000,15,walk,agency                       ,0,75,1,5,2,43,28,5
211, Tulskaia ,46923000,23,walk,agency                    ,0,601,2,14,,56,56,56
212, Prazhskaia ,7990000,3,walk,realtor                    ,0,53,1,24,1,3,20,6
213, Kommunarka ,10500000,15,walk,agency                    ,0,351,7,15,1,33,15,10
214, Lesoparkovaia ,10990000,5,walk,realtor                    ,0,56,18,25,1,39,14,10
215, Orekhovo ,5700000,20,transport,realtor                    ,0,405,2,45,1,56,56,56
216, Novoslobodskaia ,29000000,3,walk,realtor                    ,0,89,6,8,2,1,38,7
217, Iugo-Vostochnaia ,10300000,13,walk,agency                    ,0,76,4,14,2,56,56,56
218, Frunzenskaia ,120000000,6,walk,realtor                    ,0,81,7,9,4,3,90,14
219, Stakhanovskaia ,10550000,5,walk,realtor                    ,0,72,219,91919,,56,56,56
220, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
221, Bulvar Admirala Ushakova ,11250000,6,transport,realtor                    ,0,61,6,16,2,44,30,13
222, Piatnitckoe shosse ,17000000,24,transport,agency                       ,0,54,3,14,4,92,59,9
223, Savelovskaia ,32000000,20,walk,agency                       ,0,64,16,22,4,102,67,11
224, Liublino ,8500000,14,walk,agency                    ,0,62,1,5,1,30,18,6
225, Novoperedelkino ,34600000,9,transport,agency                    ,0,78,10,32,2,5,21,24
226, Rechnoi vokzal ,22705000,10,walk,agency                    ,0,765,16,41,,56,56,56
227, Piatnitckoe shosse ,11800000,25,transport,agency                       ,0,91,2,17,2,51,31,8
228, Avtozavodskaia ,25000000,12,walk,realtor                    ,0,78,1,6,2,4,36,28
229, Chistye prudy ,120000000,5,walk,realtor                    ,0,82,3,5,2,95,50,20
230, Piatnitckoe shosse ,19990000,28,transport,agency                       ,0,95,21,22,3,82,44,10
231, Piatnitckoe shosse ,19950000,24,transport,agency                       ,0,147,11,14,,88,54,14
232, Kolomenskaia ,13700000,7,walk,realtor                    ,0,188,11,17,1,37,19,8
233, Kolomenskaia ,13700000,10,walk,realtor                    ,0,2825,11,17,1,37,19,7
234, Begovaia ,13150000,10,walk,realtor                    ,0,199,13,14,1,56,56,56
235, Kaluzhskaia ,32000000,10,walk,realtor                    ,0,153,11,21,3,90,51,13
236, Olimp. derevnia ,11000000,1,walk,realtor                 ,0,0,2,14,1,52,35,12
237, Olimp. derevnia ,11000000,1,walk,realtor                 ,0,1,14,17,1,40,21,9
238, Olimp. derevnia ,25500000,1,walk,realtor                 ,0,1,4,8,3,90,59,13
239, Seligerskaia ,16000000,5,walk,realtor                 ,0,56,7,16,3,56,56,56
240, Bibirevo ,12500000,5,transport,realtor                 ,0,73,7,12,2,56,56,56
241, Olimp. derevnia ,10850000,1,walk,realtor                 ,0,1,9,20,1,66,36,15
242, Olimp. derevnia ,22000000,1,walk,realtor                 ,0,3,8,26,2,58,41,10
243, Olimp. derevnia ,16500000,1,walk,realtor                 ,0,2,4,29,2,60,24,21
244, Olimp. derevnia ,10800000,1,walk,realtor                 ,0,1,2,22,1,47,21,15
245, Olimp. derevnia ,22000000,1,walk,realtor                 ,0,0,4,6,2,53,36,12
246, Olimp. derevnia ,11000000,1,walk,realtor                 ,0,1,5,9,1,34,18,9
247, Olimp. derevnia ,10700000,1,walk,realtor                 ,0,0,4,9,1,36,17,7
248, Olimp. derevnia ,13000000,1,walk,realtor                 ,0,0,8,10,2,56,41,10
249, Olimp. derevnia ,9500000,1,walk,realtor                 ,0,2,5,8,1,39,21,8
250, Olimp. derevnia ,16500000,1,walk,realtor                 ,0,2,15,16,2,53,31,10
251, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
252, Olimp. derevnia ,15500000,1,walk,realtor                 ,0,3,14,16,3,82,66,11
253, Olimp. derevnia ,13400000,1,walk,realtor                 ,0,2,3,7,2,65,48,12
254, Olimp. derevnia ,9500000,1,walk,realtor                 ,0,0,3,5,1,32,20,6
255, Olimp. derevnia ,10700000,1,walk,realtor                 ,0,2,9,16,1,40,18,10
256, Olimp. derevnia ,9500000,1,walk,realtor                 ,0,0,12,14,1,45,31,9
257, Olimp. derevnia ,10500000,1,walk,realtor                 ,0,0,12,25,1,46,22,12
258, Olimp. derevnia ,16500000,1,walk,realtor                 ,0,6,4,8,2,73,55,13
259, Olimp. derevnia ,9450000,1,walk,realtor                 ,0,3,3,9,1,31,20,6
260, Olimp. derevnia ,12950000,1,walk,realtor                 ,0,4,2,11,2,81,43,20
261, Olimp. derevnia ,9300000,1,walk,realtor                 ,0,4,4,9,1,54,31,18
262, Olimp. derevnia ,10200000,1,walk,realtor                 ,0,5,5,14,1,49,18,13
263, Olimp. derevnia ,9100000,1,walk,realtor                 ,0,1,5,8,1,48,22,12
264, Olimp. derevnia ,24000000,1,walk,realtor                 ,0,0,9,12,3,85,68,12
265, Shelepikha ,13250000,8,walk,realtor                 ,0,1,14,51,1,77,60,12
266, Olimp. derevnia ,9100000,1,walk,realtor                 ,0,0,8,11,1,74,47,22
267, Olimp. derevnia ,20500000,1,walk,realtor                 ,0,0,2,5,2,49,22,15
268, Bulvar Rokossovskogo ,13500000,3,transport,realtor                 ,0,0,18,19,2,61,29,12
269, Dmitrovskaia ,13250000,7,walk,realtor                 ,0,0,4,28,1,71,53,13
270, Olimp. derevnia ,16500000,1,walk,realtor                 ,0,0,12,14,2,101,80,16
271, Olimp. derevnia ,9000000,1,walk,realtor                 ,0,0,7,14,1,50,20,14
272, Shabolovskaia ,16500000,11,walk,realtor                 ,0,0,7,11,2,57,33,10
273, Savelovskaia ,13150000,10,walk,realtor                 ,0,0,2,17,1,81,56,20
274, Olimp. derevnia ,9000000,1,walk,realtor                 ,0,0,2,12,1,51,27,10
275, Novokuznetckaia ,9500000,8,walk,realtor                 ,0,0,4,5,1,32,20,6
276, Ramenki ,13050000,15,walk,realtor                 ,0,0,12,22,1,49,22,13
277, Begovaia ,13500000,8,walk,realtor                 ,0,0,2,16,2,58,29,12
278, Novokuznetckaia ,13000000,8,walk,realtor                 ,0,0,2,5,1,46,23,11
279, Alekseevskaia ,19500000,10,walk,realtor                 ,0,0,4,8,3,85,57,7
280, Chekhovskaia ,20500000,2,walk,realtor                 ,0,0,2,8,2,61,38,10
281, Tretiakovskaia ,25500000,4,walk,realtor                 ,0,0,2,6,3,102,53,13
282, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
283, Novoperedelkino ,16500000,11,transport,realtor                 ,0,2,3,24,2,83,66,12
284, Sportivnaia ,25500000,11,walk,realtor                 ,0,4,8,11,3,72,53,9
285, Nagatinskaia ,13350000,21,walk,realtor                 ,0,3,6,8,2,67,42,9
286, Varshavskaia ,19500000,8,walk,realtor                 ,0,2,4,17,3,99,55,12
287, Profsoiuznaia ,16500000,16,walk,realtor                 ,0,2,12,25,2,87,44,20
288, Aeroport ,13350000,8,walk,realtor                 ,0,0,3,6,2,62,32,11
289, Frunzenskaia ,12950000,10,walk,realtor                 ,0,0,13,14,1,40,21,10
290, Savelovskaia ,9500000,15,walk,realtor                 ,0,0,10,12,1,39,22,9
291, Ulitca Akademika Iangelia ,15500000,6,walk,realtor                 ,0,0,7,22,3,101,55,10
292, Krasnye vorota ,13300000,9,walk,realtor                 ,0,0,5,7,2,53,33,8
293, Shelepikha ,10050000,16,walk,realtor                 ,0,1,14,37,1,68,51,12
294, Teplyi Stan ,16500000,3,transport,realtor                 ,0,0,13,14,2,73,35,11
295, Trubnaia ,16500000,6,walk,realtor                 ,0,0,3,7,2,68,48,8
296, Polezhaevskaia ,9400000,10,walk,realtor                 ,0,0,3,6,1,56,35,10
297, Krasnye vorota ,15500000,9,walk,realtor                 ,0,0,2,8,3,81,48,13
298, Kitai-gorod ,9950000,14,walk,realtor                 ,0,0,2,5,1,31,18,7
299, Ulitca Akademika Iangelia ,13400000,5,walk,realtor                 ,0,3,7,22,2,73,57,11
300, Barrikadnaia ,13500000,10,walk,realtor                 ,0,0,2,5,2,63,31,12
301, Maiakovskaia ,9750000,7,walk,realtor                 ,0,0,16,17,1,35,18,8
302, Butyrskaia ,9500000,12,walk,realtor                 ,0,0,14,25,1,41,19,9
303, Sukharevskaia ,12700000,6,walk,realtor                 ,0,0,5,7,1,48,35,8
304, Frunzenskaia ,16500000,7,walk,realtor                 ,0,0,5,8,2,57,39,13
305, Krasnopresnenskaia ,9550000,11,walk,realtor                 ,0,0,2,5,1,33,20,6
306, Avtozavodskaia ,9450000,1,walk,realtor                 ,0,0,7,14,1,73,50,18
307, Alekseevskaia ,10200000,14,walk,realtor                 ,0,0,7,13,1,74,50,19
308, Krasnye vorota ,8700000,8,walk,realtor                 ,0,0,4,14,1,39,19,8
309, Dubrovka ,12900000,9,walk,realtor                 ,0,0,4,7,2,63,34,10
310, Belorusskaia ,10150000,12,walk,realtor                 ,0,0,3,7,1,52,39,8
311, Bulvar Rokossovskogo ,8700000,19,walk,realtor                 ,0,1,5,18,1,47,22,15
312, Troparevo ,20500000,14,walk,realtor                 ,0,1,14,37,2,73,37,31
313, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
314, Rimskaia ,8500000,5,walk,realtor                 ,0,1,12,22,1,52,28,11
315, Prazhskaia ,8700000,3,transport,realtor                 ,0,1,13,25,1,45,18,10
316, Shelepikha ,10050000,14,walk,realtor                 ,0,3,15,36,1,77,50,22
317, Ulitca 800-letiia Moskvy ,8600000,21,walk,realtor                 ,0,2,5,32,1,46,26,12
318, Serpukhovskaia ,9400000,2,walk,realtor                 ,0,11,8,9,1,36,18,11
319, Arbatskaia ,13500000,6,walk,realtor                 ,0,10,2,6,2,44,26,6
320, Olimp. derevnia ,16500000,1,walk,realtor                 ,0,10,3,9,2,42,28,6
